Nombre,Region,CUT_Reg,Provincia,CUT_provin,Comuna,CUT_comuna,Categoria_,SUP_M2,T__HOGARES,SUP_km,xcoord,ycoord
Vision de Crecer II,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5895.33563349000,"13",0.00589533521,-71.6144216920908,-33.0600630353799
Tranque Seco II,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,19073.51017190000,"20",0.01907351847,-71.5809059268205,-33.0555085575467
Los Marineros,Valparaíso,"5",Marga Marga,"58",Quilpué,"5801",Rural,51249.00961980000,"77",0.05124900028,-71.4736041355358,-33.0602963904836
La Loma,Valparaíso,"5",Marga Marga,"58",Quilpué,"5801",Rural,85833.62301220000,"104",0.08583364357,-71.472799141971,-33.058143256596
Eben Ezer,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,13511.28005540000,"22",0.01351126673,-71.5705370056179,-33.0585128797111
El Palto,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8849.97551005000,"19",0.00884997835,-71.5117359953577,-33.0100970375508
Villa La Pampa,Tarapacá,"1",Tamarugal,"14",Pozo Almonte,"1401",Rural,27907.36119380000,"39",0.02790736308,-69.7744330089535,-20.2605830642887
13 de Junio,Tarapacá,"1",Tamarugal,"14",Pozo Almonte,"1401",Urbano,2835.35787949000,"12",0.00283536074,-69.782677797301,-20.2633840398053
Toma Protesta,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,11252.55632050000,"107",0.01125255442,-70.107540379094,-20.296711498302
La Ballenera,Tarapacá,"1",Iquique,"11",Iquique,"1101",Rural,4742.75095307000,"9",0.00474274789,-70.1338609898593,-20.299220747117
Chanavayita,Tarapacá,"1",Iquique,"11",Iquique,"1101",Rural,22939.32755410000,"54",0.02293933495,-70.1855479255775,-20.6993755114565
Caramucho,Tarapacá,"1",Iquique,"11",Iquique,"1101",Rural,12721.32907400000,"36",0.01272132531,-70.1824758846842,-20.6635322284506
La Pampa,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,39527.52865770000,"228",0.03952752433,-70.1047222907288,-20.2974712090418
Renacer,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,24998.27658450000,"220",0.02499827286,-70.0856073467552,-20.2924534827203
Pampa Ilusión,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,13085.94306810000,"43",0.01308594400,-70.0864979873389,-20.2582580062465
Tarapacá,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,26962.24068550000,"107",0.02696223805,-70.0854080756733,-20.2579699508538
Pueblo Unido,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,19062.23019150000,"69",0.01906223112,-70.0860817673056,-20.2564199390777
La Gran Famila,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,11147.29400400000,"36",0.01114729212,-70.0877861039701,-20.2573911973669
Jardín del Edén,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,33930.52902810000,"118",0.03393052941,-70.0878869691967,-20.2564655034151
Jireh,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,20897.65505230000,"122",0.02089764795,-70.089740752715,-20.2570499671972
Nuevo Amanecer II,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,5251.24025509000,"39",0.00525123209,-70.0907207618661,-20.2570685314381
Los Álamos,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,8053.76266851000,"63",0.00805376472,-70.0915001456542,-20.2573521052545
Señor de los Milagros,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,8329.78962995000,"52",0.00832979384,-70.0916558754514,-20.2567123776099
Chile Nuevo,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,13694.45502260000,"83",0.01369445621,-70.0914248078141,-20.2560651847166
Estrella del Amanecer,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,8142.49788692000,"46",0.00814249748,-70.0898182260978,-20.2560696674449
Jesús de Nazareth,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,52361.17804110000,"292",0.05236118149,-70.093163032159,-20.2578807127452
San Lorenzo,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,36946.56204830000,"259",0.03694653684,-70.0956941767273,-20.2573442896964
San Expedito I y II,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,12013.02688680000,"81",0.01201301401,-70.0950368516476,-20.2569989982235
Comité Integración,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,22664.16114700000,"73",0.02266415773,-70.0953312091314,-20.2545009984014
Independientes Unidos,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,12013.19489880000,"89",0.01201318827,-70.0913991006853,-20.2531715564488
Latinos Unidos,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,7247.12212244000,"41",0.00724711733,-70.0913540948407,-20.2524813443885
El Pueblo,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,12402.44620900000,"95",0.01240244968,-70.091595384212,-20.2516149396944
Saturno,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,5305.73081981000,"42",0.00530573098,-70.0924719433462,-20.2531506655547
Monserrat,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,11395.49445040000,"85",0.01139549194,-70.0937746945456,-20.2532072557315
Juventud de Esfuerzo,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,10098.01988750000,"83",0.01009802045,-70.0928632307373,-20.2535562681422
Nueva Esperanza I,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,6633.33765275000,"66",0.00663333623,-70.0975617799448,-20.2523387674429
